Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Evan Engram,NYG,0.34,53.85%,46.15%,53.85%,46.15%,13,N/A,24.5,Receiving Yards,CHI,4,216.86,https://www.pro-football-reference.com/players/E/EngrEv00.htm,https://www.pro-football-reference.com/teams/nyg/2021.htm
Cole Kmet,CHI,0.02,53.33%,46.67%,53.33%,46.67%,15,N/A,35.5,Receiving Yards,NYG,18,255.57,https://www.pro-football-reference.com/players/K/KmetCo00.htm,https://www.pro-football-reference.com/teams/chi/2021.htm
Dallas Goedert,PHI,0.22,50.0%,50.0%,50.0%,50.0%,14,N/A,46.5,Receiving Yards,WAS,30,288.43,https://www.pro-football-reference.com/players/G/GoedDa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Terry McLaurin,WAS,0.3,60.0%,40.0%,60.0%,40.0%,15,N/A,48.5,Receiving Yards,PHI,9,231.0,https://www.pro-football-reference.com/players/M/McLaTe00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
DeVonta Smith,PHI,0.12,53.33%,46.67%,53.33%,46.67%,15,N/A,50.5,Receiving Yards,WAS,30,288.43,https://www.pro-football-reference.com/players/S/SmitDe07.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Adam Humphries,WAS,0.0,46.67%,53.33%,46.67%,53.33%,15,N/A,24.5,Receiving Yards,PHI,9,231.0,https://www.pro-football-reference.com/players/H/HumpAd00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Quez Watkins,PHI,0.44,60.0%,40.0%,60.0%,40.0%,15,N/A,24.5,Receiving Yards,WAS,30,288.43,https://www.pro-football-reference.com/players/W/WatkQu00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Jalen Reagor,PHI,0.04,40.0%,60.0%,40.0%,60.0%,15,N/A,19.5,Receiving Yards,WAS,30,288.43,https://www.pro-football-reference.com/players/R/ReagJa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
John Bates,WAS,0.41,33.33%,66.67%,33.33%,66.67%,15,N/A,20.5,Receiving Yards,PHI,9,231.0,https://www.pro-football-reference.com/players/B/BateJo00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Antonio Brown,TAM,0.39,66.67%,33.33%,66.67%,33.33%,6,N/A,70.5,Receiving Yards,NYJ,28,267.86,https://www.pro-football-reference.com/players/B/BrowAn04.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Braxton Berrios,NYJ,0.79,26.67%,73.33%,26.67%,73.33%,15,N/A,42.5,Receiving Yards,TAM,21,259.36,https://www.pro-football-reference.com/players/B/BerrBr00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Rob Gronkowski,TAM,0.27,60.0%,40.0%,60.0%,40.0%,10,N/A,45.5,Receiving Yards,NYJ,28,267.86,https://www.pro-football-reference.com/players/G/GronRo00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Michael Carter,NYJ,0.39,50.0%,50.0%,50.0%,50.0%,12,N/A,14.5,Receiving Yards,TAM,21,259.36,https://www.pro-football-reference.com/players/C/CartMi03.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Keelan Cole,NYJ,0.11,23.08%,76.92%,23.08%,76.92%,13,N/A,30.5,Receiving Yards,TAM,21,259.36,https://www.pro-football-reference.com/players/C/ColeKe00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Mike Evans,TAM,0.41,64.29%,35.71%,64.29%,35.71%,14,N/A,50.5,Receiving Yards,NYJ,28,267.86,https://www.pro-football-reference.com/players/E/EvanMi00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Cooper Kupp,LAR,0.43,66.67%,33.33%,66.67%,33.33%,15,N/A,104.5,Receiving Yards,BAL,32,300.5,https://www.pro-football-reference.com/players/K/KuppCo00.htm,https://www.pro-football-reference.com/teams/ram/2021.htm
Tyler Higbee,LAR,0.22,61.54%,38.46%,61.54%,38.46%,13,N/A,29.5,Receiving Yards,BAL,32,300.5,https://www.pro-football-reference.com/players/H/HigbTy00.htm,https://www.pro-football-reference.com/teams/ram/2021.htm
Hunter Renfrow,LVR,0.09,33.33%,66.67%,33.33%,66.67%,15,N/A,60.5,Receiving Yards,IND,16,251.57,https://www.pro-football-reference.com/players/R/RenfHu00.htm,https://www.pro-football-reference.com/teams/rai/2021.htm
Zay Jones,LVR,0.65,33.33%,66.67%,33.33%,66.67%,15,N/A,40.5,Receiving Yards,IND,16,251.57,https://www.pro-football-reference.com/players/J/JoneZa00.htm,https://www.pro-football-reference.com/teams/rai/2021.htm
Jakobi Meyers,NWE,0.1,40.0%,60.0%,40.0%,60.0%,15,N/A,45.5,Receiving Yards,JAX,14,246.14,https://www.pro-football-reference.com/players/M/MeyeJa01.htm,https://www.pro-football-reference.com/teams/nwe/2021.htm
Marvin Jones,JAX,0.23,53.33%,46.67%,53.33%,46.67%,15,N/A,40.5,Receiving Yards,NWE,3,207.5,https://www.pro-football-reference.com/players/J/JoneMa02.htm,https://www.pro-football-reference.com/teams/jax/2021.htm
Hunter Henry,NWE,0.31,53.33%,46.67%,53.33%,46.67%,15,N/A,25.5,Receiving Yards,JAX,14,246.14,https://www.pro-football-reference.com/players/H/HenrHu00.htm,https://www.pro-football-reference.com/teams/nwe/2021.htm
Cordarrelle Patterson,ATL,0.51,57.14%,42.86%,57.14%,42.86%,14,N/A,17.5,Receiving Yards,BUF,1,185.5,https://www.pro-football-reference.com/players/P/PattCo00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Stefon Diggs,BUF,0.22,60.0%,40.0%,60.0%,40.0%,15,N/A,65.5,Receiving Yards,ATL,23,261.43,https://www.pro-football-reference.com/players/D/DiggSt00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Kyle Pitts,ATL,0.5,66.67%,33.33%,66.67%,33.33%,15,N/A,43.5,Receiving Yards,BUF,1,185.5,https://www.pro-football-reference.com/players/P/PittKy00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Devin Singletary,BUF,0.06,33.33%,66.67%,33.33%,66.67%,15,N/A,14.5,Receiving Yards,ATL,23,261.43,https://www.pro-football-reference.com/players/S/SingDe00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Russell Gage,ATL,0.15,58.33%,41.67%,58.33%,41.67%,12,N/A,43.5,Receiving Yards,BUF,1,185.5,https://www.pro-football-reference.com/players/G/GageRu00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Dawson Knox,BUF,0.36,61.54%,38.46%,61.54%,38.46%,13,N/A,30.5,Receiving Yards,ATL,23,261.43,https://www.pro-football-reference.com/players/K/KnoxDa00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Cole Beasley,BUF,0.21,42.86%,57.14%,42.86%,57.14%,14,N/A,38.5,Receiving Yards,ATL,23,261.43,https://www.pro-football-reference.com/players/B/BeasCo00.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Jaylen Waddle,MIA,0.02,42.86%,57.14%,42.86%,57.14%,14,N/A,66.5,Receiving Yards,TEN,26,264.14,https://www.pro-football-reference.com/players/W/WaddJa00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
A.J. Brown,TEN,0.03,36.36%,63.64%,36.36%,63.64%,11,N/A,67.5,Receiving Yards,MIA,15,251.14,https://www.pro-football-reference.com/players/B/BrowAJ00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Mike Gesicki,MIA,0.34,73.33%,26.67%,73.33%,26.67%,15,N/A,36.5,Receiving Yards,TEN,26,264.14,https://www.pro-football-reference.com/players/G/GesiMi00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
DeVante Parker,MIA,0.34,62.5%,37.5%,62.5%,37.5%,8,N/A,47.5,Receiving Yards,TEN,26,264.14,https://www.pro-football-reference.com/players/P/ParkDe01.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
Geoff Swaim,TEN,0.13,35.71%,64.29%,35.71%,64.29%,14,N/A,12.5,Receiving Yards,MIA,15,251.14,https://www.pro-football-reference.com/players/S/SwaiGe00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Anthony Firkser,TEN,0.94,92.31%,7.69%,92.31%,7.69%,13,N/A,6.5,Receiving Yards,MIA,15,251.14,https://www.pro-football-reference.com/players/F/FirkAn00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Brandin Cooks,HOU,0.14,50.0%,50.0%,50.0%,50.0%,14,N/A,62.5,Receiving Yards,SFO,7,226.64,https://www.pro-football-reference.com/players/C/CookBr00.htm,https://www.pro-football-reference.com/teams/htx/2021.htm
Deebo Samuel,SFO,0.82,78.57%,21.43%,78.57%,21.43%,14,N/A,40.5,Receiving Yards,HOU,19,256.79,https://www.pro-football-reference.com/players/S/SamuDe00.htm,https://www.pro-football-reference.com/teams/sfo/2021.htm
