"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Marquez Callaway","NO","Receiving Yards","Over","31.50","-115.00","37.97","53 %","-1.0","Shop Odds @ OddsShopper"
"Geoff Swaim","TEN","Receiving Yards","Over","17.50","-110.00","21.34","52 %","-2.0","Shop Odds @ OddsShopper"
"Nico Collins","HOU","Receiving Yards","Under","30.50","-110.00","34.81","52 %","-2.0","Shop Odds @ OddsShopper"
"Chris Conley","HOU","Receiving Yards","Under","16.50","-110.00","21.37","51 %","-2.0","Shop Odds @ OddsShopper"
"Marquez Callaway","NO","Receiving Yards","Under","35.50","-125.00","37.97","55 %","-2.0","Shop Odds @ OddsShopper"
"Kendrick Bourne","NE","Receiving Yards","Under","40.50","-112.00","43.97","52 %","-2.0","Shop Odds @ OddsShopper"
"Hunter Henry","NE","Receiving Yards","Over","25.50","-115.00","30.80","53 %","-2.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Receiving Yards","Under","25.50","-115.00","28.00","52 %","-3.0","Shop Odds @ OddsShopper"
"Michael Gallup","DAL","Receiving Yards","Under","50.50","-110.00","52.78","51 %","-3.0","Shop Odds @ OddsShopper"
"George Kittle","SF","Receiving Yards","Over","69.50","100.00","71.09","49 %","-3.0","Shop Odds @ OddsShopper"
"Tyler Boyd","CIN","Receiving Yards","Over","42.50","-110.00","45.50","51 %","-3.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Receiving Yards","Over","30.50","-110.00","36.39","51 %","-3.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Receiving Yards","Under","18.50","100.00","21.64","48 %","-3.0","Shop Odds @ OddsShopper"
"Jonnu Smith","NE","Receiving Yards","Under","17.50","-115.00","20.25","52 %","-3.0","Shop Odds @ OddsShopper"
"Chris Conley","HOU","Receiving Yards","Over","15.50","-115.00","21.37","51 %","-4.0","Shop Odds @ OddsShopper"
"Noah Fant","DEN","Receiving Yards","Over","30.50","-130.00","36.62","55 %","-4.0","Shop Odds @ OddsShopper"
"Tre'Quan Smith","NO","Receiving Yards","Over","33.50","-115.00","39.42","52 %","-4.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Receiving Yards","Over","24.50","-110.00","28.00","50 %","-5.0","Shop Odds @ OddsShopper"
"Ja'Marr Chase","CIN","Receiving Yards","Over","64.50","-110.00","70.30","50 %","-5.0","Shop Odds @ OddsShopper"
"Marquez Valdes-Scantling","GB","Receiving Yards","Over","35.50","-125.00","42.79","53 %","-5.0","Shop Odds @ OddsShopper"
"Joshua Palmer","LAC","Receiving Yards","Under","15.50","-115.00","20.88","51 %","-5.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Receiving Yards","Over","18.50","-112.00","22.97","50 %","-5.0","Shop Odds @ OddsShopper"
"Julio Jones","TEN","Receiving Yards","Under","55.50","-120.00","56.99","51 %","-6.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Receiving Yards","Over","20.50","-130.00","26.80","53 %","-6.0","Shop Odds @ OddsShopper"
"Dalton Schultz","DAL","Receiving Yards","Under","38.50","-116.00","40.98","51 %","-6.0","Shop Odds @ OddsShopper"
"Michael Gallup","DAL","Receiving Yards","Over","50.50","-110.00","52.78","49 %","-6.0","Shop Odds @ OddsShopper"
"Cordarrelle Patterson","ATL","Receiving Yards","Over","27.50","-110.00","30.96","49 %","-6.0","Shop Odds @ OddsShopper"
"Joe Mixon","CIN","Receiving Yards","Over","10.50","-120.00","14.24","51 %","-6.0","Shop Odds @ OddsShopper"
"Ja'Marr Chase","CIN","Receiving Yards","Under","65.50","-120.00","70.30","51 %","-6.0","Shop Odds @ OddsShopper"
"Demarcus Robinson","KC","Receiving Yards","Over","14.50","-110.00","17.44","49 %","-6.0","Shop Odds @ OddsShopper"
"Hunter Henry","NE","Receiving Yards","Under","26.50","-110.00","30.80","49 %","-6.0","Shop Odds @ OddsShopper"
"Brandin Cooks","HOU","Receiving Yards","Under","61.50","-110.00","67.74","48 %","-8.0","Shop Odds @ OddsShopper"
"Jonnu Smith","NE","Receiving Yards","Over","17.50","-110.00","20.25","48 %","-8.0","Shop Odds @ OddsShopper"
"Evan Engram","NYG","Receiving Yards","Over","25.50","-130.00","32.00","52 %","-9.0","Shop Odds @ OddsShopper"
"Braxton Berrios","NYJ","Receiving Yards","Over","30.50","-110.00","34.72","48 %","-9.0","Shop Odds @ OddsShopper"
"Davante Adams","GB","Receiving Yards","Over","90.50","-120.00","94.52","49 %","-10.0","Shop Odds @ OddsShopper"
"Josiah Deguara","GB","Receiving Yards","Under","17.50","-105.00","23.20","46 %","-10.0","Shop Odds @ OddsShopper"
"Chris Godwin","TB","Receiving Yards","Under","80.50","-120.00","82.53","49 %","-10.0","Shop Odds @ OddsShopper"
"Pat Freiermuth","PIT","Receiving Yards","Under","31.50","-114.00","37.25","47 %","-11.0","Shop Odds @ OddsShopper"
"Kyle Pitts","ATL","Receiving Yards","Over","44.50","-115.00","48.52","47 %","-11.0","Shop Odds @ OddsShopper"
"C.J. Uzomah","CIN","Receiving Yards","Over","25.50","-120.00","28.60","49 %","-11.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Receiving Yards","Over","10.50","-130.00","13.74","50 %","-11.0","Shop Odds @ OddsShopper"
"CeeDee Lamb","DAL","Receiving Yards","Over","65.50","-115.00","66.20","47 %","-12.0","Shop Odds @ OddsShopper"
"Mike Gesicki","MIA","Receiving Yards","Under","50.50","-115.00","55.56","47 %","-12.0","Shop Odds @ OddsShopper"
"Rob Gronkowski","TB","Receiving Yards","Under","57.50","-115.00","60.66","47 %","-12.0","Shop Odds @ OddsShopper"
"Michael Pittman Jr.","IND","Receiving Yards","Under","58.50","-116.00","64.23","47 %","-12.0","Shop Odds @ OddsShopper"
"Christian Kirk","ARI","Receiving Yards","Under","60.50","-125.00","64.73","49 %","-13.0","Shop Odds @ OddsShopper"
"Tee Higgins","CIN","Receiving Yards","Over","64.50","-110.00","65.61","46 %","-13.0","Shop Odds @ OddsShopper"
"Tyreek Hill","KC","Receiving Yards","Under","80.50","-115.00","85.31","46 %","-13.0","Shop Odds @ OddsShopper"
"Rondale Moore","ARI","Receiving Yards","Under","34.50","-115.00","39.85","46 %","-14.0","Shop Odds @ OddsShopper"
"A.J. Green","ARI","Receiving Yards","Over","52.50","-120.00","55.27","47 %","-14.0","Shop Odds @ OddsShopper"
"Stefon Diggs","BUF","Receiving Yards","Under","73.50","-115.00","79.08","46 %","-14.0","Shop Odds @ OddsShopper"
"Brandon Zylstra","CAR","Receiving Yards","Under","19.50","-110.00","26.63","45 %","-14.0","Shop Odds @ OddsShopper"
"Marquise Brown","BAL","Receiving Yards","Over","50.50","-110.00","49.84","45 %","-14.0","Shop Odds @ OddsShopper"
"Mike Evans","TB","Receiving Yards","Under","60.50","-110.00","66.82","45 %","-14.0","Shop Odds @ OddsShopper"
"Travis Kelce","KC","Receiving Yards","Over","67.50","-115.00","66.34","46 %","-14.0","Shop Odds @ OddsShopper"
"Tim Patrick","DEN","Receiving Yards","Over","37.50","-110.00","38.07","44 %","-15.0","Shop Odds @ OddsShopper"
"Jerry Jeudy","DEN","Receiving Yards","Over","52.50","-115.00","53.20","46 %","-15.0","Shop Odds @ OddsShopper"
"Keenan Allen","LAC","Receiving Yards","Over","75.50","-110.00","79.39","44 %","-15.0","Shop Odds @ OddsShopper"
"Rhamondre Stevenson","NE","Receiving Yards","Over","12.50","-114.00","14.65","45 %","-15.0","Shop Odds @ OddsShopper"
"Donald Parham Jr.","LAC","Receiving Yards","Over","11.50","-110.00","14.11","44 %","-16.0","Shop Odds @ OddsShopper"
"James O'Shaughnessy","JAX","Receiving Yards","Under","27.50","-111.00","32.91","44 %","-17.0","Shop Odds @ OddsShopper"
"Dawson Knox","BUF","Receiving Yards","Over","38.50","-115.00","38.01","45 %","-17.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Receiving Yards","Over","33.50","-110.00","35.29","44 %","-17.0","Shop Odds @ OddsShopper"
"Diontae Johnson","PIT","Receiving Yards","Over","78.50","-110.00","75.58","43 %","-18.0","Shop Odds @ OddsShopper"
"Gabriel Davis","BUF","Receiving Yards","Under","43.50","-112.00","52.36","43 %","-18.0","Shop Odds @ OddsShopper"
"Byron Pringle","KC","Receiving Yards","Under","28.50","-116.00","36.56","44 %","-18.0","Shop Odds @ OddsShopper"
"Amon-Ra St. Brown","DET","Receiving Yards","Under","50.50","-115.00","59.64","43 %","-19.0","Shop Odds @ OddsShopper"
"Amari Cooper","DAL","Receiving Yards","Under","51.50","-110.00","59.84","42 %","-19.0","Shop Odds @ OddsShopper"
"Russell Gage","ATL","Receiving Yards","Over","54.50","-115.00","54.97","43 %","-19.0","Shop Odds @ OddsShopper"
"Brandon Bolden","NE","Receiving Yards","Over","25.50","-125.00","26.57","45 %","-19.0","Shop Odds @ OddsShopper"
"Nick Westbrook-Ikhine","TEN","Receiving Yards","Under","35.50","-115.00","43.47","43 %","-20.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Receiving Yards","Under","18.50","-115.00","23.40","43 %","-20.0","Shop Odds @ OddsShopper"
"Laviska Shenault Jr.","JAX","Receiving Yards","Under","36.50","-114.00","44.24","43 %","-20.0","Shop Odds @ OddsShopper"
"Chuba Hubbard","CAR","Receiving Yards","Over","8.50","-118.00","10.41","43 %","-20.0","Shop Odds @ OddsShopper"
"Jack Doyle","IND","Receiving Yards","Over","19.50","-115.00","20.38","43 %","-20.0","Shop Odds @ OddsShopper"
"Nyheim Hines","IND","Receiving Yards","Over","15.50","-125.00","17.87","45 %","-20.0","Shop Odds @ OddsShopper"
"Cole Beasley","BUF","Receiving Yards","Under","46.50","-110.00","55.53","41 %","-21.0","Shop Odds @ OddsShopper"
"Robby Anderson","CAR","Receiving Yards","Under","31.50","-114.00","39.61","42 %","-21.0","Shop Odds @ OddsShopper"
"Zach Pascal","IND","Receiving Yards","Under","25.50","-115.00","33.81","42 %","-21.0","Shop Odds @ OddsShopper"
"Jared Cook","LAC","Receiving Yards","Under","27.50","-110.00","36.55","41 %","-22.0","Shop Odds @ OddsShopper"
"Mike Williams","LAC","Receiving Yards","Under","55.50","-111.00","73.12","41 %","-22.0","Shop Odds @ OddsShopper"
